track_id,track_name,artists,genre,tempo,energy,valence,danceability
track_0,Song 0,Artist 51,Pop,103.4,0.86,0.01,0.72
track_1,Song 1,Artist 99,Metal,99.7,0.8,0.94,0.99
track_2,Song 2,Artist 50,Metal,124.4,0.78,0.72,0.59
track_3,Song 3,Artist 28,Hip-Hop,90.0,0.55,0.11,0.45
track_4,Song 4,Artist 47,Pop,130.2,0.53,0.81,0.77
track_5,Song 5,Artist 73,Classical,100.7,0.31,0.51,0.9
track_6,Song 6,Artist 54,Hip-Hop,114.2,0.42,0.02,0.42
track_7,Song 7,Artist 41,Indie,84.2,0.14,0.3,0.43
track_8,Song 8,Artist 95,EDM,94.9,0.81,0.84,0.51
track_9,Song 9,Artist 81,Metal,121.0,0.66,0.09,0.49
track_10,Song 10,Artist 84,Metal,91.9,0.69,0.04,0.12
track_11,Song 11,Artist 44,Rock,120.8,0.72,0.04,0.19
track_12,Song 12,Artist 65,Pop,100.2,0.31,0.62,0.45
track_13,Song 13,Artist 58,Indie,70.0,0.33,0.72,0.6
track_14,Song 14,Artist 51,Pop,96.2,0.55,0.21,0.49
track_15,Song 15,Artist 31,EDM,140.0,0.44,0.97,0.7
track_16,Song 16,Artist 3,Jazz,110.2,0.38,0.6,0.35
track_17,Song 17,Artist 21,Indie,62.0,0.32,0.23,0.73
track_18,Song 18,Artist 54,Rock,129.8,0.59,0.77,0.66
track_19,Song 19,Artist 51,Indie,129.6,0.47,0.51,0.05
track_20,Song 20,Artist 18,Pop,90.5,0.54,0.64,0.03
track_21,Song 21,Artist 95,Indie,60.0,0.28,0.58,0.45
track_22,Song 22,Artist 41,Pop,96.9,0.84,0.94,0.05
track_23,Song 23,Artist 95,EDM,113.8,0.77,0.22,0.74
track_24,Song 24,Artist 38,Classical,101.3,0.04,0.63,0.04
track_25,Song 25,Artist 49,Jazz,60.0,0.08,0.11,0.19
track_26,Song 26,Artist 83,Jazz,71.2,0.07,0.27,0.56
track_27,Song 27,Artist 40,Rock,153.1,0.67,0.98,0.67
track_28,Song 28,Artist 20,Rock,142.0,0.7,0.93,0.4
track_29,Song 29,Artist 76,Metal,151.2,0.7,0.15,0.56
track_30,Song 30,Artist 53,Metal,125.2,0.6,0.47,0.21
track_31,Song 31,Artist 22,Jazz,60.0,0.36,0.13,0.18
track_32,Song 32,Artist 2,Jazz,85.7,0.15,0.33,0.95
track_33,Song 33,Artist 89,Pop,109.4,0.7,0.07,0.55
track_34,Song 34,Artist 33,Pop,89.8,0.3,0.54,0.51
track_35,Song 35,Artist 71,Pop,119.3,0.56,0.51,0.46
track_36,Song 36,Artist 35,Pop,83.7,0.68,0.04,0.29
track_37,Song 37,Artist 7,Hip-Hop,134.7,0.53,0.4,0.97
track_38,Song 38,Artist 14,Metal,107.7,0.67,0.23,0.57
track_39,Song 39,Artist 1,Rock,131.3,0.81,0.33,0.69
track_40,Song 40,Artist 95,Hip-Hop,136.4,0.53,0.72,0.06
track_41,Song 41,Artist 78,Jazz,83.3,0.17,0.37,0.52
track_42,Song 42,Artist 6,Hip-Hop,82.4,0.32,0.24,0.75
track_43,Song 43,Artist 33,Pop,60.0,0.34,0.2,0.4
track_44,Song 44,Artist 65,Classical,88.8,0.38,0.23,0.67
track_45,Song 45,Artist 58,Metal,100.0,0.69,0.44,0.45
track_46,Song 46,Artist 94,Hip-Hop,72.3,0.26,0.98,0.31
track_47,Song 47,Artist 83,EDM,99.9,0.74,0.78,0.18
track_48,Song 48,Artist 40,Rock,147.1,0.83,0.23,0.61
track_49,Song 49,Artist 47,Pop,90.8,0.6,0.62,0.65
track_50,Song 50,Artist 4,Pop,93.8,0.48,0.5,0.97
track_51,Song 51,Artist 16,Indie,106.7,0.34,0.86,0.32
track_52,Song 52,Artist 27,EDM,148.8,0.63,0.96,0.45
track_53,Song 53,Artist 91,EDM,134.6,0.56,0.82,0.19
track_54,Song 54,Artist 26,Jazz,72.3,0.32,0.66,0.45
track_55,Song 55,Artist 3,Rock,139.0,0.72,0.64,0.17
track_56,Song 56,Artist 95,Metal,101.6,0.51,0.83,0.46
track_57,Song 57,Artist 34,Indie,60.0,0.21,0.34,0.66
track_58,Song 58,Artist 7,Rock,113.1,0.65,0.81,0.79
track_59,Song 59,Artist 11,Classical,83.0,0.21,0.99,0.86
track_60,Song 60,Artist 94,Rock,126.6,0.73,0.14,0.86
track_61,Song 61,Artist 14,Indie,60.0,0.36,0.89,0.51
track_62,Song 62,Artist 58,Jazz,84.1,0.15,0.18,0.78
track_63,Song 63,Artist 24,Classical,86.3,0.07,0.56,0.22
track_64,Song 64,Artist 8,Jazz,69.1,0.41,0.94,0.66
track_65,Song 65,Artist 93,Hip-Hop,105.9,0.52,0.67,0.46
track_66,Song 66,Artist 46,EDM,103.8,0.62,0.01,0.6
track_67,Song 67,Artist 88,Indie,93.8,0.47,0.01,0.03
track_68,Song 68,Artist 7,Indie,75.9,0.54,0.43,0.03
track_69,Song 69,Artist 46,Jazz,109.1,0.52,0.53,0.61
track_70,Song 70,Artist 37,Hip-Hop,97.8,0.35,0.92,0.65
track_71,Song 71,Artist 88,Classical,94.7,0.38,0.4,0.46
track_72,Song 72,Artist 38,Hip-Hop,64.1,0.53,0.22,0.73
track_73,Song 73,Artist 36,Jazz,88.8,0.41,0.42,0.48
track_74,Song 74,Artist 70,Metal,112.6,0.88,0.7,0.38
track_75,Song 75,Artist 96,Pop,126.1,0.63,0.06,0.14
track_76,Song 76,Artist 80,Hip-Hop,73.9,0.28,0.86,0.0
track_77,Song 77,Artist 15,EDM,123.0,0.76,0.7,0.62
track_78,Song 78,Artist 27,Jazz,73.3,0.4,0.08,0.92
track_79,Song 79,Artist 66,Classical,60.0,0.07,0.63,0.32
